行政區,里別,鄰別,基本學區
白河區,崎內,全里,白河國中
白河區,詔豐,全里,白河國中
白河區,廣蓮,全里,白河國中
白河區,關嶺,全里,白河國中
嘉義縣中埔鄉,三層村,全里,白河國中、嘉義縣中埔國中共同學區
柳營區,人和,全里,柳營國中
柳營區,八翁,全里,柳營國中
柳營區,士林,全里,柳營國中
柳營區,大農,全里,柳營國中
柳營區,中埕,全里,柳營國中
柳營區,太康,全里,柳營國中
柳營區,光福,全里,柳營國中
柳營區,旭山,全里,柳營國中
柳營區,東昇,全里,柳營國中
柳營區,果毅,全里,柳營國中
柳營區,重溪,全里,柳營國中
柳營區,神農,全里,柳營國中
柳營區,篤農,全里,柳營國中
東山區,南溪,全里,柳營國中、東山國中共同學區
後壁區,上茄苳,全里,後壁國中
後壁區,土溝,全里,後壁國中
後壁區,長安,全里,後壁國中
後壁區,侯伯,全里,後壁國中
後壁區,後壁,全里,後壁國中
後壁區,頂安,全里,後壁國中
後壁區,嘉苳,全里,後壁國中
後壁區,福安,全里,後壁國中
後壁區,竹新,全里,菁寮國中
後壁區,長短樹,全里,菁寮國中
後壁區,菁寮,全里,菁寮國中
後壁區,菁豐,全里,菁寮國中
後壁區,新東,全里,菁寮國中
後壁區,新嘉,全里,菁寮國中
東山區,三榮,全里,東山國中
東山區,大客,全里,東山國中
東山區,水雲,全里,東山國中
東山區,東山,全里,東山國中
東山區,東中,全里,東山國中
東山區,東正,全里,東山國中
東山區,東河,全里,東山國中
東山區,科里,全里,東山國中
東山區,聖賢,全里,東山國中
東山區,南勢,全里,東原國中
東山區,青山,全里,東原國中
東山區,嶺南,全里,東原國中
東山區,東原,全里,東原國中
東山區,林安,全里,東原國中
東山區,高原,全里,東原國中
麻豆區,大埕,全里,麻豆國中
麻豆區,中興,全里,麻豆國中
麻豆區,井東,全里,麻豆國中
麻豆區,北勢,全里,麻豆國中
麻豆區,安正,全里,麻豆國中
麻豆區,安業,全里,麻豆國中
麻豆區,東角,全里,麻豆國中
麻豆區,油車,全里,麻豆國中
麻豆區,南勢,全里,麻豆國中
麻豆區,巷口,全里,麻豆國中
麻豆區,晉江,全里,麻豆國中
麻豆區,海埔,全里,麻豆國中
麻豆區,埤頭,全里,麻豆國中
麻豆區,清水,全里,麻豆國中
麻豆區,麻口,全里,麻豆國中
麻豆區,港尾,全里,麻豆國中
麻豆區,新興,全里,麻豆國中
麻豆區,寮廍,全里,麻豆國中
麻豆區,興農,全里,麻豆國中
麻豆區,謝厝寮,全里,麻豆國中
下營區,下營,全里,下營國中
下營區,大吉,全里,下營國中
下營區,仁里,全里,下營國中
下營區,宅內,全里,下營國中
下營區,西連,全里,下營國中
下營區,後街,全里,下營國中
下營區,紅甲,全里,下營國中
下營區,茅營,全里,下營國中
下營區,賀建,全里,下營國中
下營區,開化,全里,下營國中
下營區,新興,全里,下營國中
下營區,營前,全里,下營國中
六甲區,七甲,全里,六甲國中
六甲區,二甲,全里,六甲國中
六甲區,大丘,全里,六甲國中
六甲區,中社,全里,六甲國中
六甲區,六甲,全里,六甲國中
六甲區,水林,全里,六甲國中
六甲區,王爺,全里,六甲國中
六甲區,甲東,全里,六甲國中
六甲區,甲南,全里,六甲國中
六甲區,菁埔,全里,六甲國中
六甲區,龜港,全里,六甲國中
官田區,二鎮,全里,官田國中
官田區,大崎,全里,官田國中
官田區,官田,全里,官田國中
官田區,東西庄,全里,官田國中
官田區,社子,全里,官田國中
官田區,南廍,全里,官田國中
官田區,烏山頭,全里,官田國中
官田區,渡拔,全里,官田國中
官田區,隆本,全里,官田國中
官田區,隆田,全里,官田國中
大內區,二溪,全里,大內國中
大內區,大內,全里,大內國中
大內區,內江,全里,大內國中
大內區,內郭,全里,大內國中
大內區,石林,全里,大內國中
大內區,石城,全里,大內國中
大內區,石湖,全里,大內國中
大內區,曲溪,全里,大內國中
大內區,頭社,全里,大內國中
大內區,環湖,全里,大內國中
